Tree	Node A-upos	Node B-upos	Node C-upos	Node D-upos	Node E-upos	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Root node
CCONJ <cc DET <det (ADV <advmod ADJ) <amod NOUN	CCONJ	DET	ADV	ADJ	NOUN	2	79.5260	ABCDE	pattern {E [upos=NOUN]; A [upos=CCONJ]; B [upos=DET]; D [upos=ADJ]; C [upos=ADV]; E -[cc]-> A; E -[det]-> B; E -[amod]-> D; D -[advmod]-> C; E >> A; E >> B; E >> D; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20D%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DADV%5D%3B%20E%20-%5Bcc%5D-%3E%20A%3B%20E%20-%5Bdet%5D-%3E%20B%3B%20E%20-%5Bamod%5D-%3E%20D%3B%20D%20-%5Badvmod%5D-%3E%20C%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20C%7D	5	NOUN
(ADV <advmod NUM) <nummod NOUN	ADV	NUM	NOUN			2	79.5260	ABC	pattern {C [upos=NOUN]; B [upos=NUM]; A [upos=ADV]; C -[nummod]-> B; B -[advmod]-> A; C >> B; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20A%20%5Bupos%3DADV%5D%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D	3	NOUN
DET <det ADJ <amod NUM <nummod NOUN	DET	ADJ	NUM	NOUN		2	79.5260	ABCD	pattern {D [upos=NOUN]; A [upos=DET]; B [upos=ADJ]; C [upos=NUM]; D -[det]-> A; D -[amod]-> B; D -[nummod]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DNUM%5D%3B%20D%20-%5Bdet%5D-%3E%20A%3B%20D%20-%5Bamod%5D-%3E%20B%3B%20D%20-%5Bnummod%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
DET <det NUM <nummod NOUN	DET	NUM	NOUN			2	79.5260	ABC	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=NUM]; C -[det]-> A; C -[nummod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case PROPN <compound NOUN <compound NOUN	ADP	PROPN	NOUN	NOUN		2	79.5260	ABCD	pattern {D [upos=NOUN]; A [upos=ADP]; B [upos=PROPN]; C [upos=NOUN]; D -[case]-> A; D -[compound]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DPROPN%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bcompound%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
DET <det NOUN >punct PUNCT	DET	NOUN	PUNCT			2	79.5260	ABC	pattern {B [upos=NOUN]; A [upos=DET]; C [upos=PUNCT]; B -[det]-> A; B -[punct]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DPUNCT%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bpunct%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
DET <det ADJ <amod NOUN >advmod ADV	DET	ADJ	NOUN	ADV		2	79.5260	ABCD	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=ADJ]; D [upos=ADV]; C -[det]-> A; C -[amod]-> B; C -[advmod]-> D; C >> A; C >> B; C << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20D%20%5Bupos%3DADV%5D%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20-%5Badvmod%5D-%3E%20D%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D	4	NOUN
DET <det:predet PRON <nmod:poss NOUN	DET	PRON	NOUN			2	79.5260	ABC	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=PRON]; C -[det:predet]-> A; C -[nmod:poss]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DPRON%5D%3B%20C%20-%5Bdet%3Apredet%5D-%3E%20A%3B%20C%20-%5Bnmod%3Aposs%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
(ADJ <amod NOUN) <compound NOUN	ADJ	NOUN	NOUN			2	79.5260	ABC	pattern {C [upos=NOUN]; B [upos=NOUN]; A [upos=ADJ]; C -[compound]-> B; B -[amod]-> A; C >> B; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D	3	NOUN
ADV <advmod NUM <nummod NOUN	ADV	NUM	NOUN			2	79.5260	ABC	pattern {C [upos=NOUN]; A [upos=ADV]; B [upos=NUM]; C -[advmod]-> A; C -[nummod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADV%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
NUM <nummod NOUN <compound NOUN	NUM	NOUN	NOUN			2	79.5260	ABC	pattern {C [upos=NOUN]; A [upos=NUM]; B [upos=NOUN]; C -[nummod]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DNUM%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20-%5Bnummod%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
(ADP >fixed ADP) <case NOUN	ADP	ADP	NOUN			2	79.5260	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=ADP]; C -[case]-> A; A -[fixed]-> B; C >> A; A << B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DADP%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20A%20%3C%3C%20B%7D	3	NOUN
NOUN >nmod (ADP <case DET <det NOUN)	NOUN	ADP	DET	NOUN		2	79.5260	ABCD	pattern {A [upos=NOUN]; D [upos=NOUN]; B [upos=ADP]; C [upos=DET]; A -[nmod]-> D; D -[case]-> B; D -[det]-> C; A << D; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DADP%5D%3B%20C%20%5Bupos%3DDET%5D%3B%20A%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bdet%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
NOUN >appos (PUNCT <punct NUM <nummod PUNCT <punct NUM)	NOUN	PUNCT	NUM	PUNCT	NUM	2	79.5260	ABCDE	pattern {A [upos=NOUN]; E [upos=NUM]; B [upos=PUNCT]; C [upos=NUM]; D [upos=PUNCT]; A -[appos]-> E; E -[punct]-> B; E -[nummod]-> C; E -[punct]-> D; A << E; E >> B; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20E%20%5Bupos%3DNUM%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DNUM%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20A%20-%5Bappos%5D-%3E%20E%3B%20E%20-%5Bpunct%5D-%3E%20B%3B%20E%20-%5Bnummod%5D-%3E%20C%3B%20E%20-%5Bpunct%5D-%3E%20D%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
DET <det NOUN >acl VERB	DET	NOUN	VERB			2	79.5260	ABC	pattern {B [upos=NOUN]; A [upos=DET]; C [upos=VERB]; B -[det]-> A; B -[acl]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DVERB%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bacl%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
ADJ <amod NOUN >punct PUNCT >appos NUM	ADJ	NOUN	PUNCT	NUM		2	79.5260	ABCD	pattern {B [upos=NOUN]; A [upos=ADJ]; C [upos=PUNCT]; D [upos=NUM]; B -[amod]-> A; B -[punct]-> C; B -[appos]-> D; B >> A; B << C; B << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DPUNCT%5D%3B%20D%20%5Bupos%3DNUM%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bpunct%5D-%3E%20C%3B%20B%20-%5Bappos%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%3B%20B%20%3C%3C%20D%7D	4	NOUN
DET <det NOUN >acl (VERB >advmod ADV)	DET	NOUN	VERB	ADV		2	79.5260	ABCD	pattern {B [upos=NOUN]; A [upos=DET]; C [upos=VERB]; D [upos=ADV]; B -[det]-> A; B -[acl]-> C; C -[advmod]-> D; B >> A; B << C; C << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DVERB%5D%3B%20D%20%5Bupos%3DADV%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bacl%5D-%3E%20C%3B%20C%20-%5Badvmod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%3B%20C%20%3C%3C%20D%7D	4	NOUN
ADP <case DET <det (ADV <compound VERB) <amod NOUN	ADP	DET	ADV	VERB	NOUN	2	79.5260	ABCDE	pattern {E [upos=NOUN]; A [upos=ADP]; B [upos=DET]; D [upos=VERB]; C [upos=ADV]; E -[case]-> A; E -[det]-> B; E -[amod]-> D; D -[compound]-> C; E >> A; E >> B; E >> D; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20D%20%5Bupos%3DVERB%5D%3B%20C%20%5Bupos%3DADV%5D%3B%20E%20-%5Bcase%5D-%3E%20A%3B%20E%20-%5Bdet%5D-%3E%20B%3B%20E%20-%5Bamod%5D-%3E%20D%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20C%7D	5	NOUN
ADP <case NOUN >nummod NUM	ADP	NOUN	NUM			2	79.5260	ABC	pattern {B [upos=NOUN]; A [upos=ADP]; C [upos=NUM]; B -[case]-> A; B -[nummod]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20C%20%5Bupos%3DNUM%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20-%5Bnummod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
VERB <case NOUN	VERB	NOUN				2	79.5260	AB	pattern {B [upos=NOUN]; A [upos=VERB]; B -[case]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DVERB%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
ADP <case DET <det (NUM <nummod NOUN) <compound NOUN	ADP	DET	NUM	NOUN	NOUN	2	79.5260	ABCDE	pattern {E [upos=NOUN]; A [upos=ADP]; B [upos=DET]; D [upos=NOUN]; C [upos=NUM]; E -[case]-> A; E -[det]-> B; E -[compound]-> D; D -[nummod]-> C; E >> A; E >> B; E >> D; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BE%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DNUM%5D%3B%20E%20-%5Bcase%5D-%3E%20A%3B%20E%20-%5Bdet%5D-%3E%20B%3B%20E%20-%5Bcompound%5D-%3E%20D%3B%20D%20-%5Bnummod%5D-%3E%20C%3B%20E%20%3E%3E%20A%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20C%7D	5	NOUN
(NOUN <compound NOUN) <compound NOUN >punct PUNCT	NOUN	NOUN	NOUN	PUNCT		2	79.5260	ABCD	pattern {C [upos=NOUN]; B [upos=NOUN]; A [upos=NOUN]; D [upos=PUNCT]; C -[compound]-> B; B -[compound]-> A; C -[punct]-> D; C >> B; B >> A; C << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DNOUN%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20C%20-%5Bpunct%5D-%3E%20D%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20C%20%3C%3C%20D%7D	4	NOUN
PUNCT <punct NOUN >punct PUNCT	PUNCT	NOUN	PUNCT			2	79.5260	ABC	pattern {B [upos=NOUN]; A [upos=PUNCT]; C [upos=PUNCT]; B -[punct]-> A; B -[punct]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DPUNCT%5D%3B%20B%20-%5Bpunct%5D-%3E%20A%3B%20B%20-%5Bpunct%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
CCONJ <cc PUNCT <punct CCONJ <cc NOUN	CCONJ	PUNCT	CCONJ	NOUN		2	79.5260	ABCD	pattern {D [upos=NOUN]; A [upos=CCONJ]; B [upos=PUNCT]; C [upos=CCONJ]; D -[cc]-> A; D -[punct]-> B; D -[cc]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DCCONJ%5D%3B%20D%20-%5Bcc%5D-%3E%20A%3B%20D%20-%5Bpunct%5D-%3E%20B%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
PUNCT <punct NOUN <compound PUNCT <punct NOUN	PUNCT	NOUN	PUNCT	NOUN		2	79.5260	ABCD	pattern {D [upos=NOUN]; A [upos=PUNCT]; B [upos=NOUN]; C [upos=PUNCT]; D -[punct]-> A; D -[compound]-> B; D -[punct]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DPUNCT%5D%3B%20D%20-%5Bpunct%5D-%3E%20A%3B%20D%20-%5Bcompound%5D-%3E%20B%3B%20D%20-%5Bpunct%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
ADP <case DET <det NOUN >conj (CCONJ <cc NOUN)	ADP	DET	NOUN	CCONJ	NOUN	2	79.5260	ABCDE	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=DET]; E [upos=NOUN]; D [upos=CCONJ]; C -[case]-> A; C -[det]-> B; C -[conj]-> E; E -[cc]-> D; C >> A; C >> B; C << E; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20D%20%5Bupos%3DCCONJ%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bdet%5D-%3E%20B%3B%20C%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20D%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D	5	NOUN
ADJ <amod NOUN >vocative PROPN >punct PUNCT	ADJ	NOUN	PROPN	PUNCT		2	79.5260	ABCD	pattern {B [upos=NOUN]; A [upos=ADJ]; C [upos=PROPN]; D [upos=PUNCT]; B -[amod]-> A; B -[vocative]-> C; B -[punct]-> D; B >> A; B << C; B << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DPROPN%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bvocative%5D-%3E%20C%3B%20B%20-%5Bpunct%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%3B%20B%20%3C%3C%20D%7D	4	NOUN
NOUN >appos NUM	NOUN	NUM				2	79.5260	AB	pattern {A [upos=NOUN]; B [upos=NUM]; A -[appos]-> B; A << B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20A%20-%5Bappos%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D	2	NOUN
VERB <amod NOUN >nummod NUM	VERB	NOUN	NUM			2	79.5260	ABC	pattern {B [upos=NOUN]; A [upos=VERB]; C [upos=NUM]; B -[amod]-> A; B -[nummod]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DVERB%5D%3B%20C%20%5Bupos%3DNUM%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bnummod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
PUNCT <punct ADJ <amod NOUN <compound NOUN >punct PUNCT	PUNCT	ADJ	NOUN	NOUN	PUNCT	2	79.5260	ABCDE	pattern {D [upos=NOUN]; A [upos=PUNCT]; B [upos=ADJ]; C [upos=NOUN]; E [upos=PUNCT]; D -[punct]-> A; D -[amod]-> B; D -[compound]-> C; D -[punct]-> E; D >> A; D >> B; D >> C; D << E}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20E%20%5Bupos%3DPUNCT%5D%3B%20D%20-%5Bpunct%5D-%3E%20A%3B%20D%20-%5Bamod%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20-%5Bpunct%5D-%3E%20E%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20E%7D	5	NOUN
CCONJ <cc ADJ <amod NOUN <compound NOUN	CCONJ	ADJ	NOUN	NOUN		2	79.5260	ABCD	pattern {D [upos=NOUN]; A [upos=CCONJ]; B [upos=ADJ]; C [upos=NOUN]; D -[cc]-> A; D -[amod]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bcc%5D-%3E%20A%3B%20D%20-%5Bamod%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
NOUN >conj (CCONJ <cc NOUN <compound NOUN)	NOUN	CCONJ	NOUN	NOUN		2	79.5260	ABCD	pattern {A [upos=NOUN]; D [upos=NOUN]; B [upos=CCONJ]; C [upos=NOUN]; A -[conj]-> D; D -[cc]-> B; D -[compound]-> C; A << D; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DCCONJ%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
DET <det NOUN >acl:relcl (PRON <nsubj VERB)	DET	NOUN	PRON	VERB		2	79.5260	ABCD	pattern {B [upos=NOUN]; A [upos=DET]; D [upos=VERB]; C [upos=PRON]; B -[det]-> A; B -[acl:relcl]-> D; D -[nsubj]-> C; B >> A; B << D; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20D%20%5Bupos%3DVERB%5D%3B%20C%20%5Bupos%3DPRON%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bacl%3Arelcl%5D-%3E%20D%3B%20D%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D	4	NOUN
DET <det NOUN <compound NOUN <compound NOUN	DET	NOUN	NOUN	NOUN		2	79.5260	ABCD	pattern {D [upos=NOUN]; A [upos=DET]; B [upos=NOUN]; C [upos=NOUN]; D -[det]-> A; D -[compound]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bdet%5D-%3E%20A%3B%20D%20-%5Bcompound%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
CCONJ <cc PRON <nmod:poss NOUN <compound NOUN	CCONJ	PRON	NOUN	NOUN		2	79.5260	ABCD	pattern {D [upos=NOUN]; A [upos=CCONJ]; B [upos=PRON]; C [upos=NOUN]; D -[cc]-> A; D -[nmod:poss]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DPRON%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bcc%5D-%3E%20A%3B%20D%20-%5Bnmod%3Aposs%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
